genotype,pre_freq,pre_n,post_freq,post_n,change
N-100000201001120120,2.0184689912701214e-06,1,0.0001486104919007282,3,48.56502529375815
N-000000000000000000,0.04641873139223899,22997,0.21053153019269827,4250,3.535410349830194
N-000000011000000000,0.00023817934096987436,118,0.0009907366126715212,20,3.146414187153541
N-001010000000000100,2.422162789524146e-05,12,0.0001486104919007282,3,4.931833286976493
N-100001011000000000,4.036937982540243e-06,2,4.953683063357606e-05,1,9.033244564208271
N-000200000002010001,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000001200000000000,0.00016551445728414996,82,0.001585178580274434,32,8.52577095193414
N-010010110110120010,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-000100200000000000,5.8535600746833526e-05,29,0.000743052459503641,15,11.497605637131567
N-000001000000000000,0.0030499066458091538,1511,0.02432258384108585,491,6.9725755865056325
N-000000000000100010,0.0002442347479436847,121,0.0016842522415415862,34,5.871996141136511
N-000000001000000000,0.006015037593984963,2980,0.023975826026650816,484,2.9854847400926574
N-000000000000000100,0.002668416006459101,1322,0.011789765690791104,238,3.416983213654733
N-000000000000101010,9.688651158096584e-05,48,0.00044583147570218456,9,3.5647910880202573
N-100010000000000000,0.0009547358328707675,473,0.0010402734433050973,21,0.08949921881384133
N-101201000001121011,0.0,0,0.0002476841531678803,5,247.6841531678803
N-100000000000000000,0.012675985265176364,6280,0.021944815970674197,443,0.731154175193315
N-100000000000120001,2.220315890397134e-05,11,4.953683063357606e-05,1,1.1780151074570466
N-000000000000010100,0.00020184689912701217,100,0.0011888839352058255,24,4.86592124566214
N-100000001000000000,0.0017056062976232528,845,0.005746272353494823,116,2.3676615171870066
N-100000110000020100,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-100000000000020000,0.00048241408891355904,239,0.0012879575964729777,26,1.6663633229429122
N-000000001000000010,0.0003572690114548115,177,0.0018823995640758905,38,4.256942419965462
N-010100000010021110,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000000010001101000,8.073875965080486e-06,4,4.953683063357606e-05,1,4.5694866039672375
N-000001000000100000,0.0003572690114548115,177,0.003170357160548868,64,7.851887992408384
N-111100100101000000,4.036937982540243e-06,2,4.953683063357606e-05,1,9.033244564208271
N-000200000000000110,1.614775193016097e-05,8,4.953683063357606e-05,1,1.9471402921736607
N-001000000000000000,0.0054841802492809205,2717,0.019963342745331153,403,2.639687637967481
N-000200000010000010,2.0184689912701214e-06,1,9.907366126715212e-05,2,32.153781455625555
N-110000000000000000,0.0011081394762072969,549,0.005151830385891911,104,3.645791170928311
N-000000000000001000,0.0038128879245092596,1889,0.018130480011888838,366,3.754067337786768
N-101101201111110010,0.0,0,9.907366126715212e-05,2,99.07366126715213
N-000000000000010000,0.003055962052782964,1514,0.01837816416505672,371,5.012231701837743
N-000000000000100000,0.0039037190291164154,1934,0.016941596076683014,342,3.339005175621277
N-000011000000000000,0.00019982843013574203,99,0.0013870312577401297,28,5.911527699549037
N-000001010000100000,3.229550386032194e-05,16,0.0002972209838014564,6,7.956794438448027
N-100000000001120000,2.0184689912701214e-06,1,9.907366126715212e-05,2,32.153781455625555
N-000200010011000000,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000000000100000000,0.0016067013170510168,796,0.00629117749046416,127,2.9137726788740896
N-000000000002010000,0.00016147751930160973,80,0.000743052459503641,15,3.579417895484015
N-100111010010010111,0.0,0,0.0005944419676029127,12,594.4419676029128
N-000000000000001100,0.0005248019377302317,260,0.000743052459503641,15,0.41508124278801173
N-100000000001100000,5.248019377302316e-05,26,0.00019814732253430425,4,2.723758432505147
N-000000000010000000,0.0021315032547812485,1056,0.011294397384455342,228,4.2967784968816005
N-000000010001000000,0.00013321895342382803,66,0.0005449051369693367,11,3.067273086577515
N-100000000000000010,0.0008275722864207499,410,0.0017833259028087382,36,1.1534945496628106
N-001210000000000000,6.459100772064389e-05,32,9.907366126715212e-05,2,0.5257222711590585
N-000000001000020010,2.422162789524146e-05,12,0.00019814732253430425,4,6.895894878850273
