,Genotype,Plasmid_counts,Rep_1_counts,Rep_2_counts,Plasmid_RPM,r1_RPM,r2_RPM,r1_FC,r2_FC,avg_FC,neighbors,n_muts
996126,1.011E+17,0,0,22,0,0,74.10002156,,inf,,1013.823022,7
423419,1.0011E+16,0,2,1,0,9.080260422,3.368182798,inf,inf,inf,874.2517283,8
85722,1.01101E+14,0,0,29,0,0,97.67730114,,inf,,744.3683984,9
116970,1.11101E+14,0,0,8,0,0,26.94546238,,inf,,730.8956672,10
116802,1.11101E+14,0,0,7,0,0,23.57727959,,inf,,720.7911188,9
116820,1.11101E+14,0,0,16,0,0,53.89092477,,inf,,720.7911188,9
490074,1.01111E+16,0,0,9,0,0,30.31364518,,inf,,719.1070274,11
797073,1.00011E+17,0,10,8,0,45.40130211,26.94546238,inf,inf,inf,683.8615783,9
930954,1.00211E+17,0,0,268,0,0,902.6729899,,inf,,677.0047424,12
859293,1.00111E+17,0,9,3,0,40.8611719,10.10454839,inf,inf,inf,658.3787181,11
858849,1.00111E+17,0,6,0,0,27.24078127,0,inf,,,650.3965754,9
859275,1.00111E+17,0,13,2,0,59.02169274,6.736365596,inf,inf,inf,645.9302749,9
116826,1.11101E+14,0,0,416,0,0,1401.164044,,inf,,543.9615219,10
460586,1.01011E+16,0,10,1,0,45.40130211,3.368182798,inf,inf,inf,508.125435,8
930930,1.00211E+17,0,0,7,0,0,23.57727959,,inf,,495.1228713,12
930955,1.00211E+17,0,0,11,0,0,37.05001078,,inf,,483.3342315,13
184459,2.11201E+14,0,0,9,0,0,30.31364518,,inf,,432.8114895,12
184434,2.11201E+14,0,0,10,0,0,33.68182798,,inf,,431.1273981,11
168906,2.10201E+14,0,0,9,0,0,30.31364518,,inf,,424.3910326,10
909956,1.0021E+17,0,0,11,0,0,37.05001078,,inf,,421.0228498,10
170535,2.1021E+14,0,2,0,0,9.080260422,0,inf,,,417.6919794,10
170991,2.1021E+14,0,4,0,0,18.16052084,0,inf,,,417.6919794,11
543807,1.02102E+16,0,3,0,0,13.62039063,0,inf,,,415.4219143,11
167103,2.102E+14,0,7,0,0,31.78091148,0,inf,,,413.1518492,9
170565,2.1021E+14,0,4,0,0,18.16052084,0,inf,,,406.3416539,11
847892,1.0011E+17,0,0,6,0,0,20.20909679,,inf,,404.1819358,10
1460782,1.11201E+17,0,0,4,0,0,13.47273119,,inf,,402.4978444,13
1274156,1.10201E+17,0,0,13,0,0,43.78637637,,inf,,385.6569304,12
1460348,1.11201E+17,0,0,11,0,0,37.05001078,,inf,,385.6569304,12
1460756,1.11201E+17,0,0,2,0,0,6.736365596,,inf,,380.6046562,12
65326,1.00001E+14,0,8,3,0,36.32104169,10.10454839,inf,inf,inf,378.5762301,8
127534,2.00001E+14,0,7,0,0,31.78091148,0,inf,,,377.2638103,8
1368471,1.11011E+17,0,4,0,0,18.16052084,0,inf,,,367.7505471,14
529093,1.021E+16,0,0,3,0,0,10.10454839,,inf,,345.2387368,7
1306263,1.10211E+17,0,1,0,0,4.540130211,0,inf,,,345.049896,14
1492863,1.11211E+17,0,1,0,0,4.540130211,0,inf,,,345.049896,14
1492885,1.11211E+17,0,8,0,0,36.32104169,0,inf,,,342.1938572,14
1477335,1.1121E+17,0,4,0,0,18.16052084,0,inf,,,340.5097658,14
220613,1.01E+15,0,3,2,0,13.62039063,6.736365596,inf,inf,inf,336.3294561,7
530533,1.021E+16,0,0,11,0,0,37.05001078,,inf,,335.1341884,7
293189,1.1102E+15,0,3,0,0,13.62039063,0,inf,,,332.8874436,9
551819,1.02111E+16,0,3,2,0,13.62039063,6.736365596,inf,inf,inf,332.8874436,11
544357,1.0211E+16,0,0,8,0,0,26.94546238,,inf,,331.7660056,7
116363,1.11101E+14,0,3,1,0,13.62039063,3.368182798,inf,inf,inf,316.4848439,10
281093,1.11E+15,0,4,1,0,18.16052084,3.368182798,inf,inf,inf,316.4848439,7
1358617,1.11011E+17,0,0,40,0,0,134.7273119,,inf,,313.8675779,10
97629,1.1001E+14,0,3,2,0,13.62039063,6.736365596,inf,inf,inf,311.4325697,11
1389721,1.11101E+17,1,0,39,2.069129621,0,131.3591291,0,63.48521031,31.74260515,299.6008698,10
423559,1.0011E+16,0,17,11,0,77.18221359,37.05001078,inf,inf,inf,293.3712495,8
902053,1.0021E+17,0,0,6,0,0,20.20909679,,inf,,290.2496943,6
547831,1.0211E+16,0,10,1,0,45.40130211,3.368182798,inf,inf,inf,289.4821016,8
610039,1.1011E+16,0,18,3,0,81.7223438,10.10454839,inf,inf,inf,286.3325982,8
380383,1.00001E+16,0,0,11,0,0,37.05001078,,inf,,284.6114464,7
566935,1.10001E+16,0,0,7,0,0,23.57727959,,inf,,284.6114464,7
21,1111,230,10,47,475.8998127,45.40130211,158.3045915,0.095400967,0.332642685,0.214021826,0.63767274,4
1126807,1.1E+17,0,0,6,0,0,20.20909679,,inf,,283.5133287,7
388824,1.0001E+16,1,7,368,2.069129621,31.78091148,1239.49127,15.35955561,599.0399332,307.1997444,5.607778203,3
1148796,1.10001E+17,0,1,0,0,4.540130211,0,inf,,,262.5200894,10
166540,2.102E+14,0,2,0,0,9.080260422,0,inf,,,262.0817751,7
1035052,1.0111E+17,0,0,7,0,0,23.57727959,,inf,,258.9266409,12
1273218,1.10201E+17,0,1,0,0,4.540130211,0,inf,,,255.7098941,12
184458,2.11201E+14,0,0,244,0,0,821.8366027,,inf,,244.1801961,11
219249,1.01E+15,1,0,10,2.069129621,0,33.68182798,0,16.27825905,8.139129527,235.7727959,9
111642,1.11001E+14,0,0,8,0,0,26.94546238,,inf,,232.6570857,9
34222,1.00011E+13,0,24,1,0,108.9631251,3.368182798,inf,inf,inf,226.0130315,8
1377362,1.111E+17,0,5,0,0,22.70065105,0,inf,,,222.4663803,8
343677,1.21E+15,5,0,6,10.3456481,0,20.20909679,0,1.953391086,0.976695543,220.6159733,11
1377224,1.111E+17,0,3,0,0,13.62039063,0,inf,,,215.656185,8
1492887,1.11211E+17,0,147,0,0,667.399141,0,inf,,,215.656185,15
801284,1.00011E+17,0,0,7,0,0,23.57727959,,inf,,215.5636991,11
859305,1.00111E+17,0,5,1,0,22.70065105,3.368182798,inf,inf,inf,213.9436512,10
1059057,1.012E+17,0,0,10,0,0,33.68182798,,inf,,212.1955163,10
859257,1.00111E+17,0,3,2,0,13.62039063,6.736365596,inf,inf,inf,211.2000535,9
1090089,1.0121E+17,0,0,1,0,0,3.368182798,,inf,,210.5114249,10
1083762,1.01201E+17,0,6,0,0,27.24078127,0,inf,,,208.8459897,8
343809,1.21E+15,0,0,1,0,0,3.368182798,,inf,,207.1432421,10
996132,1.011E+17,0,0,30,0,0,101.0454839,,inf,,206.158047,7
996121,1.011E+17,0,0,23,0,0,77.46820435,,inf,,201.5694736,7
1115730,1.01211E+17,0,1,0,0,4.540130211,0,inf,,,192.955534,10
674257,1.11111E+16,0,0,13,0,0,43.78637637,,inf,,191.4090611,9
181746,2.112E+14,0,4,0,0,18.16052084,0,inf,,,190.6854689,7
1033322,1.0111E+17,0,0,28,0,0,94.30911834,,inf,,187.6304192,11
1234201,1.10111E+17,0,0,13,0,0,43.78637637,,inf,,175.021299,10
1047577,1.01111E+17,0,0,11,0,0,37.05001078,,inf,,172.7270123,10
419959,1.0011E+16,0,14,1,0,63.56182295,3.368182798,inf,inf,inf,172.2404493,6
517610,1.0201E+16,1,5,0,2.069129621,22.70065105,0,10.97111115,0,5.485555576,169.9979767,7
1421257,1.11111E+17,0,0,14,0,0,47.15455917,,inf,,169.1217047,12
1169911,1.10011E+17,0,16,3,0,72.64208337,10.10454839,inf,inf,inf,168.6064043,8
486506,1.0111E+16,0,5,0,0,22.70065105,0,inf,,,163.1502504,8
189742,1E+15,0,22,4,0,99.88286464,13.47273119,inf,inf,inf,162.1441425,8
1117578,1.01211E+17,0,0,11,0,0,37.05001078,,inf,,158.031228,13
930948,1.00211E+17,0,0,9,0,0,30.31364518,,inf,,155.8363499,11
930958,1.00211E+17,0,0,1,0,0,3.368182798,,inf,,153.6414717,13
915402,1.0021E+17,0,0,5,0,0,16.84091399,,inf,,153.0927521,11
931386,1.00211E+17,0,0,4,0,0,13.47273119,,inf,,152.5440326,13
920586,1.00211E+17,0,0,2,0,0,6.736365596,,inf,,150.897874,11
36405,1.01E+13,0,0,13,0,0,43.78637637,,inf,,150.4396559,8
37293,1.01001E+13,0,0,4,0,0,13.47273119,,inf,,148.1453692,9
38157,1.0101E+13,1,0,28,2.069129621,0,94.30911834,0,45.57912535,22.78956268,147.817614,9
288560,1.1101E+15,0,0,19,0,0,63.99547316,,inf,,147.7763885,12
179034,2.11101E+14,0,0,11,0,0,37.05001078,,inf,,147.4898587,10
54618,1.11011E+13,0,0,26,0,0,87.57275275,,inf,,147.1621035,9
1035051,1.0111E+17,1,0,30,2.069129621,0,101.0454839,0,48.83477716,24.41738858,146.6871276,13
183594,2.11201E+14,0,0,19,0,0,63.99547316,,inf,,145.9593981,10
288556,1.1101E+15,0,0,5,0,0,16.84091399,,inf,,145.7794102,11
88132,1.012E+14,0,31,2,0,140.7440365,6.736365596,inf,inf,inf,145.0322265,4
996144,1.011E+17,0,0,30,0,0,101.0454839,,inf,,144.4029876,7
1035056,1.0111E+17,0,0,20,0,0,67.36365596,,inf,,143.6008885,13
116682,1.11101E+14,0,0,14,0,0,47.15455917,,inf,,143.5567958,9
863322,1.00111E+17,0,0,19,0,0,63.99547316,,inf,,141.9180196,11
116814,1.11101E+14,0,0,19,0,0,63.99547316,,inf,,141.2625091,9
122010,1.11201E+14,0,0,4,0,0,13.47273119,,inf,,139.9514882,10
170557,2.1021E+14,1,1,0,2.069129621,4.540130211,0,2.19422223,0,1.097111115,139.7928266,9
557706,1.02112E+16,0,0,3,0,0,10.10454839,,inf,,139.3747636,12
303450,1.1111E+15,0,0,23,0,0,77.46820435,,inf,,139.2959777,11
169695,2.1021E+14,0,7,0,0,31.78091148,0,inf,,,138.3135375,9
785540,1.0001E+17,0,0,17,0,0,57.25910757,,inf,,138.2773245,9
487705,1.01111E+16,0,0,21,0,0,70.73183876,,inf,,137.7080974,9
301081,1.1111E+15,0,0,20,0,0,67.36365596,,inf,,136.4584867,9
186111,2.1121E+14,0,7,0,0,31.78091148,0,inf,,,136.0946037,11
170271,2.1021E+14,0,4,0,0,18.16052084,0,inf,,,135.3549591,9
357183,1.21021E+15,0,8,0,0,36.32104169,0,inf,,,135.3549591,11
170415,2.1021E+14,0,1,0,0,4.540130211,0,inf,,,134.6153145,10
859425,1.00111E+17,0,8,4,0,36.32104169,13.47273119,inf,inf,inf,134.1893808,11
170511,2.1021E+14,0,1,0,0,4.540130211,0,inf,,,133.6847449,9
921489,1.00211E+17,0,10,6,0,45.40130211,20.20909679,inf,inf,inf,132.8639913,10
1034372,1.0111E+17,0,0,12,0,0,40.41819358,,inf,,128.9490923,11
859279,1.00111E+17,0,5,3,0,22.70065105,10.10454839,inf,inf,inf,128.7881498,9
869649,1.00111E+17,0,10,3,0,45.40130211,10.10454839,inf,inf,inf,128.4603946,11
714284,1.12012E+16,1,0,11,2.069129621,0,37.05001078,0,17.90608496,8.95304248,128.4003728,12
2328,1011010000,4,34,23,8.276518483,154.3644272,77.46820435,18.65088896,9.359998956,14.00544396,3.386999994,4
1090161,1.0121E+17,0,0,117,0,0,394.0773874,,inf,,127.3029337,11
1035050,1.0111E+17,0,0,757,0,0,2549.714378,,inf,,126.9326171,12
188878,1E+15,0,1,0,0,4.540130211,0,inf,,,126.4638425,7
1491884,1.11211E+17,0,0,10,0,0,33.68182798,,inf,,126.2054946,14
1422553,1.11111E+17,1,0,27,2.069129621,0,90.94093555,0,43.95129944,21.97564972,125.7100442,12
848180,1.0011E+17,0,0,6,0,0,20.20909679,,inf,,125.6567751,11
852932,1.0011E+17,0,0,1,0,0,3.368182798,,inf,,125.1080555,10
1460781,1.11201E+17,0,0,9,0,0,30.31364518,,inf,,125.1080555,14
88128,1.012E+14,15,2880,282,31.03694431,13075.57501,949.827549,421.2906682,30.60312702,225.9468976,11.00809679,3
860145,1.00111E+17,0,3,1,0,13.62039063,3.368182798,inf,inf,inf,123.6150014,11
1087532,1.01201E+17,0,0,3,0,0,10.10454839,,inf,,123.4618969,12
749614,1E+17,0,13,0,0,59.02169274,0,inf,,,122.7414033,8
1405273,1.1111E+17,0,0,8,0,0,26.94546238,,inf,,122.6724409,10
433783,1.00112E+16,0,8,4,0,36.32104169,13.47273119,inf,inf,inf,122.4881662,8
50167,1.101E+13,0,9,3,0,40.8611719,10.10454839,inf,inf,inf,120.588141,6
1420537,1.11111E+17,0,0,7,0,0,23.57727959,,inf,,120.5694848,10
1035026,1.0111E+17,0,0,34,0,0,114.5182151,,inf,,118.5995736,12
1029866,1.0111E+17,0,0,12,0,0,40.41819358,,inf,,116.0761785,11
220846,1.01E+15,0,4,0,0,18.16052084,0,inf,,,115.113517,9
88176,1.012E+14,0,38,6,0,172.524948,20.20909679,inf,inf,inf,114.8517958,4
1430679,1.11111E+17,0,12,0,0,54.48156253,0,inf,,,114.6449107,15
20750,1.1E+12,4,7,194,8.276518483,31.78091148,653.4274628,3.839888903,78.94955641,41.39472266,4.702597919,4
1492743,1.11211E+17,0,2,0,0,9.080260422,0,inf,,,111.4954073,15
996122,1.011E+17,0,0,25,0,0,84.20456995,,inf,,111.4676935,7
1492455,1.11211E+17,0,6,0,0,27.24078127,0,inf,,,110.9466878,14
1492893,1.11211E+17,0,6,0,0,27.24078127,0,inf,,,110.7557628,16
674331,1.11111E+16,0,0,22,0,0,74.10002156,,inf,,110.1968892,11
36431,1.01E+13,0,0,8,0,0,26.94546238,,inf,,109.8210424,8
996124,1.011E+17,1,0,4,2.069129621,0,13.47273119,0,6.511303621,3.255651811,109.2891718,7
287690,1.1101E+15,1,0,46,2.069129621,0,154.9364087,0,74.87999165,37.43999582,108.7613344,10
972842,1.0101E+17,0,0,44,0,0,148.2000431,,inf,,107.336713,11
674761,1.11111E+16,1,0,6,2.069129621,0,20.20909679,0,9.766955432,4.883477716,106.7475632,11
779526,1.0001E+17,0,8,11,0,36.32104169,37.05001078,inf,inf,inf,45.42997322,6
160845,2.101E+14,0,0,6,0,0,20.20909679,,inf,,105.8487919,9
782925,1.0001E+17,0,0,16,0,0,53.89092477,,inf,,105.8487919,9
36428,1.01E+13,1,0,9,2.069129621,0,30.31364518,0,14.65043315,7.325216574,105.6964319,7
847748,1.0011E+17,0,0,224,0,0,754.4729468,,inf,,105.354152,10
